#PeakID	Chr	Start	End	Strand
89	groupI	547949	548349	+
90	groupI	549353	549753	+
91	groupI	551064	551464	+
92	groupI	552167	552567	+
93	groupI	554827	555227	+
94	groupI	555797	556197	+
95	groupI	558716	559116	+
96	groupI	560138	560538	+
97	groupI	562141	562541	+
98	groupI	565865	566265	+
99	groupI	568068	568468	+
100	groupI	571477	571877	+
101	groupI	572874	573274	+
102	groupI	575494	575894	+
103	groupI	576506	576906	+
104	groupI	584032	584432	+
105	groupI	613649	614049	+
106	groupI	614320	614720	+
107	groupI	620606	621006	+
108	groupI	621650	622050	+
109	groupI	626319	626719	+
110	groupI	661209	661609	+
111	groupI	674753	675153	+
112	groupI	708152	708552	+
113	groupI	721847	722247	+
114	groupI	724171	724571	+
115	groupI	725768	726168	+
116	groupI	731060	731460	+
117	groupI	734442	734842	+
118	groupI	737931	738331	+
119	groupI	739902	740302	+
120	groupI	744993	745393	+
121	groupI	747993	748393	+
122	groupI	754786	755186	+
123	groupI	755370	755770	+
124	groupI	756349	756749	+
125	groupI	758251	758651	+
126	groupI	760721	761121	+
127	groupI	764623	765023	+
128	groupI	768161	768561	+
129	groupI	768575	768975	+
130	groupI	769675	770075	+
131	groupI	772469	772869	+
132	groupI	776145	776545	+
133	groupI	783522	783922	+
134	groupI	785756	786156	+
135	groupI	787754	788154	+
136	groupI	789351	789751	+
137	groupI	790396	790796	+
138	groupI	791335	791735	+
139	groupI	792139	792539	+
140	groupI	797029	797429	+
141	groupI	798504	798904	+
142	groupI	799672	800072	+
143	groupI	800989	801389	+
144	groupI	801656	802056	+
145	groupI	804492	804892	+
146	groupI	808353	808753	+
147	groupI	811216	811616	+
148	groupI	811850	812250	+
149	groupI	814361	814761	+
150	groupI	817618	818018	+
151	groupI	822502	822902	+
152	groupI	823842	824242	+
153	groupI	825665	826065	+
154	groupI	830405	830805	+
155	groupI	833672	834072	+
156	groupI	835329	835729	+
157	groupI	843119	843519	+
158	groupI	845677	846077	+
159	groupI	850871	851271	+
160	groupI	852531	852931	+
161	groupI	854279	854679	+
162	groupI	855621	856021	+
163	groupI	857429	857829	+
164	groupI	858833	859233	+
165	groupI	859744	860144	+
166	groupI	860339	860739	+
167	groupI	862492	862892	+
168	groupI	867114	867514	+
169	groupI	872247	872647	+
170	groupI	874133	874533	+
171	groupI	876230	876630	+
172	groupI	877874	878274	+
173	groupI	882144	882544	+
174	groupI	888255	888655	+
175	groupI	897557	897957	+
176	groupI	898482	898882	+
177	groupI	900458	900858	+
178	groupI	902156	902556	+
179	groupI	903111	903511	+
180	groupI	903841	904241	+
181	groupI	906244	906644	+
182	groupI	910365	910765	+
183	groupI	911453	911853	+
184	groupI	912560	912960	+
185	groupI	913509	913909	+
186	groupI	914079	914479	+
187	groupI	916772	917172	+
188	groupI	921240	921640	+
189	groupI	921869	922269	+
190	groupI	939079	939479	+
191	groupI	940439	940839	+
192	groupI	942983	943383	+
193	groupI	943960	944360	+
194	groupI	950357	950757	+
195	groupI	953657	954057	+
196	groupI	958540	958940	+
197	groupI	959981	960381	+
198	groupI	962241	962641	+
199	groupI	963948	964348	+
200	groupI	965040	965440	+
201	groupI	971586	971986	+
202	groupI	972424	972824	+
203	groupI	974691	975091	+
204	groupI	977673	978073	+
205	groupI	979311	979711	+
206	groupI	986210	986610	+
207	groupI	995205	995605	+
208	groupI	1000977	1001377	+
209	groupI	1009583	1009983	+
210	groupI	1010541	1010941	+
211	groupI	1017619	1018019	+
212	groupI	1018628	1019028	+
213	groupI	1020083	1020483	+
214	groupI	1043833	1044233	+
215	groupI	1061946	1062346	+
216	groupI	1064622	1065022	+
217	groupI	1065102	1065502	+
218	groupI	1067872	1068272	+
219	groupI	1074089	1074489	+
220	groupI	1076307	1076707	+
221	groupI	1077496	1077896	+
222	groupI	1080134	1080534	+
223	groupI	1081167	1081567	+
224	groupI	1084745	1085145	+
225	groupI	1091262	1091662	+
226	groupI	1097887	1098287	+
227	groupI	1100078	1100478	+
228	groupI	1106412	1106812	+
229	groupI	1111632	1112032	+
230	groupI	1113340	1113740	+
231	groupI	1117737	1118137	+
232	groupI	1140180	1140580	+
233	groupI	1143481	1143881	+
234	groupI	1145886	1146286	+
235	groupI	1146698	1147098	+
236	groupI	1147360	1147760	+
237	groupI	1151097	1151497	+
238	groupI	1180351	1180751	+
239	groupI	1181519	1181919	+
240	groupI	1183227	1183627	+
241	groupI	1184229	1184629	+
242	groupI	1185585	1185985	+
243	groupI	1186411	1186811	+
244	groupI	1187069	1187469	+
245	groupI	1187654	1188054	+
246	groupI	1189655	1190055	+
247	groupI	1190315	1190715	+
248	groupI	1193104	1193504	+
249	groupI	1194354	1194754	+
250	groupI	1194933	1195333	+
251	groupI	1204921	1205321	+
252	groupI	1216212	1216612	+
253	groupI	1216973	1217373	+
254	groupI	1217630	1218030	+
255	groupI	1218283	1218683	+
256	groupI	1219426	1219826	+
257	groupI	1226942	1227342	+
258	groupI	1227725	1228125	+
259	groupI	1228791	1229191	+
260	groupI	1229874	1230274	+
261	groupI	1233999	1234399	+
262	groupI	1235522	1235922	+
263	groupI	1237411	1237811	+
264	groupI	1238399	1238799	+
265	groupI	1240481	1240881	+
266	groupI	1242161	1242561	+
267	groupI	1243140	1243540	+
268	groupI	1243981	1244381	+
269	groupI	1244492	1244892	+
270	groupI	1260601	1261001	+
271	groupI	1272765	1273165	+
272	groupI	1273668	1274068	+
273	groupI	1276229	1276629	+
274	groupI	1280070	1280470	+
275	groupI	1280712	1281112	+
276	groupI	1281970	1282370	+
277	groupI	1282577	1282977	+
278	groupI	1287972	1288372	+
279	groupI	1288992	1289392	+
280	groupI	1290657	1291057	+
281	groupI	1301208	1301608	+
282	groupI	1309560	1309960	+
283	groupI	1310552	1310952	+
284	groupI	1314231	1314631	+
285	groupI	1318428	1318828	+
286	groupI	1321542	1321942	+
287	groupI	1324680	1325080	+
288	groupI	1330938	1331338	+
289	groupI	1336464	1336864	+
290	groupI	1337145	1337545	+
291	groupI	1338223	1338623	+
292	groupI	1339803	1340203	+
293	groupI	1344807	1345207	+
294	groupI	1347743	1348143	+
295	groupI	1353885	1354285	+
296	groupI	1355867	1356267	+
297	groupI	1356538	1356938	+
298	groupI	1362128	1362528	+
299	groupI	1362822	1363222	+
300	groupI	1363493	1363893	+
301	groupI	1364036	1364436	+
302	groupI	1364526	1364926	+
303	groupI	1365511	1365911	+
304	groupI	1366040	1366440	+
305	groupI	1368639	1369039	+
306	groupI	1369908	1370308	+
307	groupI	1371274	1371674	+
308	groupI	1372574	1372974	+
309	groupI	1374738	1375138	+
310	groupI	1375976	1376376	+
311	groupI	1377567	1377967	+
312	groupI	1382025	1382425	+
313	groupI	1394606	1395006	+
314	groupI	1398179	1398579	+
315	groupI	1405059	1405459	+
316	groupI	1406687	1407087	+
317	groupI	1438089	1438489	+
318	groupI	1528727	1529127	+
319	groupI	1531822	1532222	+
320	groupI	1535115	1535515	+
321	groupI	1536844	1537244	+
322	groupI	1541790	1542190	+
323	groupI	1543777	1544177	+
324	groupI	1545565	1545965	+
325	groupI	1546366	1546766	+
326	groupI	1546849	1547249	+
327	groupI	1549690	1550090	+
328	groupI	1550569	1550969	+
329	groupI	1560043	1560443	+
330	groupI	1560861	1561261	+
331	groupI	1563491	1563891	+
332	groupI	1568495	1568895	+
333	groupI	1570740	1571140	+
334	groupI	1572002	1572402	+
335	groupI	1574382	1574782	+
336	groupI	1575252	1575652	+
337	groupI	1582666	1583066	+
338	groupI	1583152	1583552	+
339	groupI	1585407	1585807	+
340	groupI	1588454	1588854	+
341	groupI	1591304	1591704	+
342	groupI	1592550	1592950	+
343	groupI	1592977	1593377	+
344	groupI	1593765	1594165	+
345	groupI	1617344	1617744	+
346	groupI	1649688	1650088	+
347	groupI	1663408	1663808	+
348	groupI	1667212	1667612	+
349	groupI	1680295	1680695	+
350	groupI	1683632	1684032	+
351	groupI	1684241	1684641	+
352	groupI	1700403	1700803	+
353	groupI	1706081	1706481	+
354	groupI	1708008	1708408	+
355	groupI	1711896	1712296	+
356	groupI	1716948	1717348	+
357	groupI	1718190	1718590	+
358	groupI	1723019	1723419	+
359	groupI	1731119	1731519	+
360	groupI	1754690	1755090	+
361	groupI	1757299	1757699	+
362	groupI	1758826	1759226	+
363	groupI	1759850	1760250	+
364	groupI	1761221	1761621	+
365	groupI	1764601	1765001	+
366	groupI	1765338	1765738	+
367	groupI	1766098	1766498	+
368	groupI	1818052	1818452	+
369	groupI	1819749	1820149	+
370	groupI	1822358	1822758	+
371	groupI	1830266	1830666	+
372	groupI	1831619	1832019	+
373	groupI	1833595	1833995	+
374	groupI	1837495	1837895	+
375	groupI	1845489	1845889	+
376	groupI	1846523	1846923	+
377	groupI	1847099	1847499	+
378	groupI	1848256	1848656	+
379	groupI	1848901	1849301	+
380	groupI	1852841	1853241	+
381	groupI	1854536	1854936	+
382	groupI	1855062	1855462	+
383	groupI	1858183	1858583	+
384	groupI	1860047	1860447	+
385	groupI	1860559	1860959	+
386	groupI	1861869	1862626	+
387	groupI	1867282	1867682	+
388	groupI	1868894	1869294	+
389	groupI	1869866	1870266	+
390	groupI	1871823	1872223	+
391	groupI	1872362	1872762	+
392	groupI	1872864	1873264	+
393	groupI	1875291	1875691	+
394	groupI	1878707	1879107	+
395	groupI	1881375	1881775	+
396	groupI	1885323	1885723	+
397	groupI	1886970	1887370	+
398	groupI	1891947	1892347	+
399	groupI	1893220	1893620	+
400	groupI	1899931	1900331	+
401	groupI	1900468	1900868	+
402	groupI	1902092	1902492	+
403	groupI	1911823	1912223	+
404	groupI	1914124	1914524	+
405	groupI	1918117	1918517	+
406	groupI	1920492	1920892	+
407	groupI	1923415	1923815	+
408	groupI	1924922	1925322	+
409	groupI	1926534	1926934	+
410	groupI	1929151	1929551	+
411	groupI	1929700	1930100	+
412	groupI	1934623	1935023	+
413	groupI	1935225	1935625	+
414	groupI	1939979	1940379	+
415	groupI	1946309	1946709	+
416	groupI	1950619	1951019	+
417	groupI	1953042	1953442	+
418	groupI	1954643	1955043	+
419	groupI	1955210	1955610	+
420	groupI	1955828	1956228	+
421	groupI	1956254	1956654	+
422	groupI	1957640	1958040	+
423	groupI	1961058	1961458	+
424	groupI	1962262	1962662	+
425	groupI	1963131	1963531	+
426	groupI	1963556	1963956	+
427	groupI	1964878	1965278	+
428	groupI	1965722	1966122	+
429	groupI	1968343	1968743	+
430	groupI	1970347	1970747	+
431	groupI	1971558	1971958	+
432	groupI	1974874	1975274	+
433	groupI	1975314	1975714	+
434	groupI	1976288	1976688	+
435	groupI	1977757	1978157	+
436	groupI	1988839	1989239	+
437	groupI	2001166	2001566	+
438	groupI	2002754	2003154	+
439	groupI	2004594	2004994	+
440	groupI	2006339	2006739	+
441	groupI	2007947	2008347	+
442	groupI	2008815	2009215	+
443	groupI	2013143	2013543	+
444	groupI	2014690	2015090	+
445	groupI	2015488	2015888	+
446	groupI	2017782	2018182	+
447	groupI	2018693	2019093	+
448	groupI	2021387	2021787	+
449	groupI	2022298	2022698	+
450	groupI	2024655	2025055	+
451	groupI	2025165	2025565	+
452	groupI	2027300	2027700	+
453	groupI	2032742	2033142	+
454	groupI	2033758	2034158	+
455	groupI	2034638	2035038	+
456	groupI	2035253	2035653	+
457	groupI	2035822	2036222	+
458	groupI	2039145	2039545	+
459	groupI	2040552	2040952	+
460	groupI	2043153	2043553	+
461	groupI	2044768	2045168	+
462	groupI	2045537	2045937	+
463	groupI	2046952	2047352	+
464	groupI	2048932	2049332	+
465	groupI	2049579	2049979	+
466	groupI	2050911	2051311	+
467	groupI	2052099	2052499	+
468	groupI	2053727	2054127	+
469	groupI	2056589	2056989	+
470	groupI	2059331	2059731	+
471	groupI	2063289	2063689	+
472	groupI	2063968	2064368	+
473	groupI	2066446	2066846	+
474	groupI	2067528	2067928	+
475	groupI	2068519	2068919	+
476	groupI	2069280	2069680	+
477	groupI	2072036	2072436	+
478	groupI	2072799	2073199	+
479	groupI	2074011	2074411	+
480	groupI	2076110	2076510	+
481	groupI	2080992	2081392	+
482	groupI	2081473	2081873	+
483	groupI	2084093	2084493	+
484	groupI	2084514	2084914	+
485	groupI	2085756	2086156	+
486	groupI	2089947	2090347	+
487	groupI	2093802	2094202	+
488	groupI	2096639	2097039	+
489	groupI	2098687	2099087	+
490	groupI	2100068	2100468	+
491	groupI	2103561	2103961	+
492	groupI	2104268	2104668	+
493	groupI	2106728	2107128	+
494	groupI	2116693	2117093	+
495	groupI	2119281	2119681	+
496	groupI	2119951	2120351	+
497	groupI	2127588	2127988	+
498	groupI	2128767	2129167	+
499	groupI	2133676	2134076	+
500	groupI	2135601	2136001	+
501	groupI	2137454	2137854	+
502	groupI	2140529	2140929	+
503	groupI	2141202	2141602	+
504	groupI	2152355	2152755	+
505	groupI	2154909	2155309	+
506	groupI	2156106	2156506	+
507	groupI	2157308	2157708	+
508	groupI	2158727	2159127	+
509	groupI	2161903	2162303	+
510	groupI	2162830	2163230	+
511	groupI	2168623	2169023	+
512	groupI	2175163	2175563	+
513	groupI	2176861	2177261	+
514	groupI	2180808	2181208	+
515	groupI	2200314	2200714	+
516	groupI	2201838	2202238	+
517	groupI	2203973	2204373	+
518	groupI	2205312	2205712	+
519	groupI	2207310	2207710	+
520	groupI	2208724	2209124	+
521	groupI	2211572	2211972	+
522	groupI	2212325	2212725	+
523	groupI	2213797	2214197	+
524	groupI	2214819	2215219	+
525	groupI	2215936	2216336	+
526	groupI	2216798	2217198	+
527	groupI	2217429	2217829	+
528	groupI	2218650	2219050	+
529	groupI	2220085	2220485	+
530	groupI	2222591	2222991	+
531	groupI	2223673	2224073	+
532	groupI	2224339	2224739	+
533	groupI	2227044	2227444	+
534	groupI	2233647	2234047	+
535	groupI	2235582	2235982	+
536	groupI	2236135	2236535	+
537	groupI	2240901	2241301	+
538	groupI	2245771	2246171	+
539	groupI	2247461	2247861	+
540	groupI	2251327	2251727	+
541	groupI	2252321	2252721	+
542	groupI	2253854	2254254	+
543	groupI	2257219	2257619	+
544	groupI	2257704	2258104	+
545	groupI	2258372	2258772	+
546	groupI	2259375	2259775	+
547	groupI	2259958	2260358	+
548	groupI	2260462	2260862	+
549	groupI	2262804	2263204	+
550	groupI	2264860	2265260	+
551	groupI	2266300	2266700	+
552	groupI	2267279	2267679	+
553	groupI	2267797	2268197	+
554	groupI	2269467	2269867	+
555	groupI	2271070	2271470	+
556	groupI	2272676	2273076	+
557	groupI	2273575	2273975	+
558	groupI	2274737	2275137	+
559	groupI	2275328	2275728	+
560	groupI	2284114	2284514	+
561	groupI	2288779	2289179	+
562	groupI	2290929	2291329	+
563	groupI	2293598	2293998	+
564	groupI	2296427	2296827	+
565	groupI	2306472	2306872	+
566	groupI	2307926	2308326	+
567	groupI	2308763	2309163	+
568	groupI	2311617	2312017	+
569	groupI	2313061	2313461	+
570	groupI	2314659	2315059	+
571	groupI	2317584	2317984	+
572	groupI	2320215	2320615	+
573	groupI	2321871	2322271	+
574	groupI	2322280	2322680	+
575	groupI	2324842	2325242	+
576	groupI	2325764	2326164	+
577	groupI	2330857	2331257	+
578	groupI	2331428	2331828	+
579	groupI	2333877	2334277	+
580	groupI	2338034	2338434	+
581	groupI	2354672	2355072	+
582	groupI	2356943	2357343	+
583	groupI	2365780	2366180	+
584	groupI	2367371	2367771	+
585	groupI	2389516	2389916	+
586	groupI	2395682	2396082	+
587	groupI	2400906	2401306	+
588	groupI	2404400	2404800	+
589	groupI	2411048	2411448	+
590	groupI	2412610	2413010	+
591	groupI	2425414	2425814	+
592	groupI	2426005	2426405	+
593	groupI	2434192	2434592	+
594	groupI	2437747	2438147	+
595	groupI	2438867	2439267	+
596	groupI	2463205	2463605	+
597	groupI	2475867	2476267	+
598	groupI	2479463	2479863	+
599	groupI	2480282	2480682	+
600	groupI	2484675	2485075	+
601	groupI	2486510	2486910	+
602	groupI	2487499	2487899	+
603	groupI	2500977	2501377	+
604	groupI	2502169	2502569	+
605	groupI	2502708	2503108	+
606	groupI	2511474	2511874	+
607	groupI	2518046	2518446	+
608	groupI	2519693	2520093	+
609	groupI	2520189	2520589	+
610	groupI	2526194	2526594	+
611	groupI	2544628	2545028	+
612	groupI	2545384	2545784	+
613	groupI	2547169	2547569	+
614	groupI	2552326	2552726	+
615	groupI	2623095	2623495	+
616	groupI	2626009	2626409	+
617	groupI	2630153	2630553	+
618	groupI	2636731	2637131	+
619	groupI	2637814	2638214	+
620	groupI	2639540	2639940	+
621	groupI	2640396	2640796	+
622	groupI	2641615	2642015	+
623	groupI	2644111	2644511	+
624	groupI	2645215	2645615	+
625	groupI	2649252	2649652	+
626	groupI	2674810	2675210	+
627	groupI	2682591	2682991	+
628	groupI	2694537	2694937	+
629	groupI	2695077	2695477	+
630	groupI	2697323	2697723	+
631	groupI	2714293	2714693	+
632	groupI	2717437	2717837	+
633	groupI	2720109	2720509	+
634	groupI	2722289	2722689	+
635	groupI	2724951	2725351	+
636	groupI	2726452	2726852	+
637	groupI	2728087	2728487	+
638	groupI	2729338	2729738	+
639	groupI	2730330	2730730	+
640	groupI	2730816	2731216	+
641	groupI	2731368	2731768	+
642	groupI	2731779	2732179	+
643	groupI	2732561	2732961	+
644	groupI	2734164	2734564	+
645	groupI	2735333	2735733	+
646	groupI	2738887	2739287	+
647	groupI	2740635	2741035	+
648	groupI	2745666	2746066	+
649	groupI	2746126	2746526	+
650	groupI	2751209	2751609	+
651	groupI	2754379	2754779	+
652	groupI	2755435	2755835	+
653	groupI	2758091	2758491	+
654	groupI	2760401	2760801	+
655	groupI	2762196	2762596	+
656	groupI	2763425	2763825	+
657	groupI	2765510	2765910	+
658	groupI	2766959	2767359	+
659	groupI	2767884	2768284	+
660	groupI	2769446	2769846	+
661	groupI	2774197	2774597	+
662	groupI	2775117	2775517	+
663	groupI	2776742	2777142	+
664	groupI	2781854	2782254	+
665	groupI	2783103	2783503	+
666	groupI	2799781	2800181	+
667	groupI	2809081	2809481	+
668	groupI	2809743	2810143	+
669	groupI	2813027	2813427	+
670	groupI	2813624	2814024	+
671	groupI	2819730	2820130	+
672	groupI	2825497	2825897	+
673	groupI	2827670	2828070	+
674	groupI	2829417	2829817	+
675	groupI	2834024	2834424	+
676	groupI	2834702	2835102	+
677	groupI	2839410	2839810	+
678	groupI	2840714	2841114	+
679	groupI	2844340	2844740	+
680	groupI	2849858	2850258	+
681	groupI	2851544	2851944	+
682	groupI	2853478	2853878	+
683	groupI	2857835	2858235	+
684	groupI	2859027	2859427	+
685	groupI	2860437	2860837	+
686	groupI	2863294	2863694	+
687	groupI	2865960	2866360	+
688	groupI	2868021	2868421	+
689	groupI	2871289	2871689	+
690	groupI	2872189	2872589	+
691	groupI	2873124	2873524	+
692	groupI	2874006	2874406	+
693	groupI	2877162	2877562	+
694	groupI	2878408	2878808	+
695	groupI	2880279	2880679	+
696	groupI	2880991	2881391	+
697	groupI	2882477	2882877	+
698	groupI	2883304	2883704	+
699	groupI	2884145	2884545	+
700	groupI	2894027	2894427	+
701	groupI	2895860	2896260	+
702	groupI	2896495	2896895	+
703	groupI	2910201	2910601	+
704	groupI	2926747	2927147	+
705	groupI	2930495	2930895	+
706	groupI	2940271	2940671	+
707	groupI	2946137	2946537	+
708	groupI	2966788	2967188	+
709	groupI	2994731	2995131	+
710	groupI	2997048	2997448	+
711	groupI	3019197	3019597	+
712	groupI	3021587	3021987	+
713	groupI	3026694	3027094	+
714	groupI	3028182	3028582	+
715	groupI	3030527	3030927	+
716	groupI	3031800	3032200	+
717	groupI	3032382	3032782	+
718	groupI	3033440	3033840	+
719	groupI	3034606	3035006	+
720	groupI	3035959	3036359	+
721	groupI	3047727	3048127	+
722	groupI	3048693	3049093	+
723	groupI	3049327	3049727	+
724	groupI	3052500	3052900	+
725	groupI	3060234	3060634	+
726	groupI	3061385	3061785	+
727	groupI	3063399	3063799	+
728	groupI	3078617	3079017	+
729	groupI	3080691	3081091	+
730	groupI	3083189	3083589	+
731	groupI	3086529	3086929	+
732	groupI	3090892	3091292	+
733	groupI	3093197	3093597	+
734	groupI	3101160	3101560	+
735	groupI	3104801	3105201	+
736	groupI	3117260	3117660	+
737	groupI	3119433	3119833	+
738	groupI	3121468	3121868	+
739	groupI	3122187	3122587	+
740	groupI	3123901	3124301	+
741	groupI	3128001	3128401	+
742	groupI	3139094	3139494	+
743	groupI	3139636	3140036	+
744	groupI	3140296	3140696	+
745	groupI	3141230	3141630	+
746	groupI	3154677	3155356	+
747	groupI	3162077	3162477	+
748	groupI	3166287	3166687	+
749	groupI	3173350	3173750	+
750	groupI	3174519	3174919	+
751	groupI	3175693	3176093	+
752	groupI	3176245	3176645	+
753	groupI	3179684	3180084	+
754	groupI	3181963	3182363	+
755	groupI	3184536	3184936	+
756	groupI	3185719	3186119	+
757	groupI	3190868	3191268	+
758	groupI	3191431	3191831	+
759	groupI	3196292	3196692	+
760	groupI	3197672	3198072	+
761	groupI	3198920	3199320	+
762	groupI	3207483	3207883	+
763	groupI	3209355	3209755	+
764	groupI	3223194	3223594	+
765	groupI	3245419	3245819	+
766	groupI	3247534	3247934	+
767	groupI	3250285	3250685	+
768	groupI	3251745	3252145	+
769	groupI	3253617	3254017	+
770	groupI	3257425	3257825	+
771	groupI	3260959	3261359	+
772	groupI	3264825	3265225	+
773	groupI	3266112	3266512	+
774	groupI	3269191	3269591	+
775	groupI	3271521	3271921	+
776	groupI	3273303	3273703	+
777	groupI	3282085	3282485	+
778	groupI	3283201	3283601	+
779	groupI	3284588	3284988	+
780	groupI	3285162	3285562	+
781	groupI	3288121	3288521	+
782	groupI	3288607	3289007	+
783	groupI	3289886	3290286	+
784	groupI	3296726	3297126	+
785	groupI	3298673	3299073	+
786	groupI	3299218	3299618	+
787	groupI	3308075	3308475	+
788	groupI	3311266	3311666	+
789	groupI	3314329	3314729	+
790	groupI	3315685	3316085	+
791	groupI	3317557	3317957	+
792	groupI	3325625	3326025	+
793	groupI	3329071	3329471	+
794	groupI	3331611	3332011	+
795	groupI	3332278	3332678	+
796	groupI	3338142	3338542	+
797	groupI	3341127	3341527	+
798	groupI	3345417	3345817	+
799	groupI	3347106	3347506	+
800	groupI	3352374	3352774	+
801	groupI	3352895	3353295	+
802	groupI	3366505	3366905	+
803	groupI	3367114	3367514	+
804	groupI	3368550	3368950	+
805	groupI	3372768	3373168	+
806	groupI	3377752	3378152	+
807	groupI	3378629	3379029	+
808	groupI	3383915	3384315	+
809	groupI	3386693	3387093	+
810	groupI	3390391	3390791	+
811	groupI	3392435	3392835	+
812	groupI	3396745	3397145	+
813	groupI	3397243	3397643	+
814	groupI	3401482	3401882	+
815	groupI	3403569	3403969	+
816	groupI	3406909	3407309	+
817	groupI	3409338	3409738	+
818	groupI	3421440	3421840	+
819	groupI	3423465	3423865	+
820	groupI	3424451	3424851	+
821	groupI	3424938	3425338	+
822	groupI	3428289	3428689	+
823	groupI	3428827	3429227	+
824	groupI	3455735	3456135	+
825	groupI	3456584	3456984	+
826	groupI	3458858	3459258	+
827	groupI	3474704	3475104	+
828	groupI	3476037	3476437	+
829	groupI	3477814	3478214	+
830	groupI	3478842	3479242	+
831	groupI	3481818	3482218	+
832	groupI	3482550	3482950	+
833	groupI	3485275	3485675	+
834	groupI	3491003	3491403	+
835	groupI	3510034	3510434	+
836	groupI	3516842	3517242	+
837	groupI	3523547	3523947	+
838	groupI	3528860	3529260	+
839	groupI	3535089	3535489	+
840	groupI	3535606	3536006	+
841	groupI	3549137	3549537	+
842	groupI	3554028	3554428	+
843	groupI	3554907	3555307	+
844	groupI	3570670	3571070	+
845	groupI	3598987	3599387	+
846	groupI	3600850	3601250	+
847	groupI	3604827	3605227	+
848	groupI	3605821	3606221	+
849	groupI	3613174	3613574	+
850	groupI	3617435	3617835	+
851	groupI	3648576	3648976	+
852	groupI	3649611	3650011	+
853	groupI	3651914	3652314	+
854	groupI	3652508	3652908	+
855	groupI	3664030	3664430	+
856	groupI	3685354	3685754	+
857	groupI	3694882	3695282	+
858	groupI	3704202	3704602	+
859	groupI	3709054	3709454	+
860	groupI	3711215	3711615	+
861	groupI	3711957	3712357	+
862	groupI	3722168	3722568	+
863	groupI	3727177	3727577	+
864	groupI	3737466	3737866	+
865	groupI	3743719	3744119	+
866	groupI	3747601	3748001	+
867	groupI	3758126	3758526	+
868	groupI	3759805	3760205	+
869	groupI	3771403	3771803	+
870	groupI	3775063	3775463	+
871	groupI	3775648	3776048	+
872	groupI	3785629	3786029	+
873	groupI	3786148	3786548	+
874	groupI	3804173	3804573	+
875	groupI	3806851	3807251	+
876	groupI	3807615	3808015	+
877	groupI	3840020	3840420	+
878	groupI	3848544	3848944	+
879	groupI	3850537	3850937	+
880	groupI	3853068	3853468	+
881	groupI	3863351	3863751	+
882	groupI	3871998	3872398	+
883	groupI	3884182	3884582	+
884	groupI	3884844	3885244	+
885	groupI	3885804	3886204	+
886	groupI	3892037	3892437	+
887	groupI	3892736	3893136	+
888	groupI	3894397	3894797	+
889	groupI	3895649	3896049	+
890	groupI	3897279	3897679	+
891	groupI	3901845	3902245	+
892	groupI	3902768	3903168	+
893	groupI	3903856	3904256	+
894	groupI	3906927	3907327	+
895	groupI	3909217	3909617	+
896	groupI	3915778	3916178	+
897	groupI	3920460	3920860	+
898	groupI	3921019	3921419	+
